year;value;period
2003;41888;0
2004;54396;0
2005;55205;0
2006;108171;0
2007;96371;0
2008;122819;0
2009;183021;0
2010;286549;0
2011;196393;0
2012;185396;0
2013;194226;0
2014;192381;0
2015;234937;0
2016;252321;0
2017;273643;0
2003;71602;1
2004;87881;1
2005;99881;1
2006;182143;1
2007;173492;1
2008;231371;1
2009;297971;1
2010;440885;1
2011;326624;1
2012;316020;1
2013;321154;1
2014;335738;1
2015;387376;1
2016;423053;1
2003;80578;2
2004;98225;2
2005;116140;2
2006;207094;2
2007;199345;2
2008;266630;2
2009;335191;2
2010;519967;2
2011;375867;2
2012;378494;2
2013;375132;2
2014;391852;2
2015;442404;2
2003;88109;3
2004;109467;3
2005;128143;3
2006;223400;3
2007;216782;3
2008;293561;3
2009;363355;3
2010;559445;3
2011;414250;3
2012;436267;3
2013;417334;3
2014;431861;3
2003;94876;4
2004;116582;4
2005;138788;4
2006;232335;4
2007;231016;4
2008;311574;4
2009;387421;4
2010;590259;4
2011;440991;4
2012;495543;4
2013;451578;4
2003;99244;5
2004;122274;5
2005;146094;5
2006;241747;5
2007;243108;5
2008;330638;5
2009;404611;5
2010;613589;5
2011;465757;5
2012;540847;5
2003;102795;6
2004;126341;6
2005;151340;6
2006;250861;6
2007;253049;6
2008;347564;6
2009;421414;6
2010;646845;6
2011;500149;6
2003;105924;7
2004;132239;7
2005;157695;7
2006;257011;7
2007;259745;7
2008;358198;7
2009;435353;7
2010;668177;7
2003;108009;8
2004;133593;8
2005;162321;8
2006;263859;8
2007;267646;8
2008;372480;8
2009;446693;8
2003;109570;9
2004;136901;9
2005;165111;9
2006;269196;9
2007;273806;9
2008;381203;9
2003;111494;10
2004;139045;10
2005;169893;10
2006;277933;10
2007;279080;10
2003;112655;11
2004;143649;11
2005;175090;11
2006;282500;11
2003;113596;12
2004;145622;12
2005;176902;12
2003;114645;13
2004;146465;13
2003;119952;14
